Continent,Gas Consumption (Bcm),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North America,Canada,"21,7","23,7","25,2","28,1","31,3","34,6","37,0","41,6","44,2","44,7","46,2","46,6","48,8","49,3","50,1","49,7","48,3","51,1","48,7","54,1","56,8","54,6","55,3","60,8","65,8","63,8","64,2","68,1","72,2","74,8","77,3","78,6","80,1","78,8","84,2","89,2","84,0","87,5","89,8","87,8","87,6","87,1","93,7","92,5","89,7","91,6","100,6","99,4","105,4","109,8","110,3","105,6","109,6","117,7","118,7","115,3","118,6","123,8","124,1","128,5"
North America,Mexico,"8,1","8,5","7,3","7,9","9,7","10,0","10,4","11,1","12,3","12,9","13,1","12,9","13,6","17,1","20,8","22,3","24,2","26,0","26,8","26,9","27,5","24,5","24,9","25,4","24,8","26,8","28,2","28,2","28,3","30,1","30,7","31,3","31,4","33,5","33,8","35,9","36,2","41,1","44,5","48,0","52,7","58,3","57,0","60,0","65,2","66,0","70,8","73,7","77,8","78,8","80,8","85,3","89,7","92,2","95,3","95,1","93,9","93,3","100,5","100,3"
North America,US,"415,9","448,3","473,3","506,7","545,4","574,9","592,7","598,7","593,8","573,2","526,2","536,6","525,7","527,5","545,1","533,7","520,9","484,2","454,2","485,2","467,0","437,6","465,3","486,6","517,0","517,1","528,4","546,4","559,9","573,1","598,0","608,9","612,5","602,2","604,3","628,4","600,7","620,1","602,2","604,6","595,2","586,6","624,1","628,9","617,6","648,2","658,2","688,1","707,0","722,3","743,6","749,1","739,8","822,0","851,0","835,3","836,4","880,4","888,4","902,2"
S. & Cent. America,Argentina,"4,1","4,5","4,7","5,2","5,2","5,9","6,3","7,1","8,1","8,5","8,8","9,9","10,3","10,0","10,3","11,2","11,7","13,3","14,3","15,2","15,6","16,8","16,8","19,7","20,7","19,7","20,1","21,7","22,9","23,6","26,2","30,1","27,8","29,7","31,5","32,3","30,2","29,4","33,6","36,8","39,3","40,7","42,7","43,2","41,8","42,1","43,8","45,7","46,0","46,2","46,7","48,2","48,3","48,7","46,6","43,9","45,9","45,9","44,9","45,6"
S. & Cent. America,Brazil,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,4","0,4","0,5","0,6","0,8","0,9","1,0","0,9","1,3","1,8","2,1","2,6","3,0","3,3","3,4","3,5","3,1","3,3","3,7","4,3","4,7","5,2","5,8","6,3","6,6","7,8","9,7","12,3","14,5","16,2","19,3","20,1","21,2","21,8","25,7","20,7","27,6","27,5","32,6","38,4","40,7","42,9","37,1","37,6","35,9","35,7","31,4","40,4","32,0","29,9","31,4"
S. & Cent. America,Chile,"0,6","0,6","0,6","0,5","0,6","0,6","0,7","0,6","0,5","0,5","0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,7","0,8","0,8","0,8","0,7","0,7","1,0","1,5","1,7","1,9","2,2","2,3","2,2","2,1","2,1","2,9","4,0","5,4","7,0","8,0","8,0","8,7","9,4","9,1","8,4","5,0","2,8","2,8","5,7","5,8","5,3","5,3","4,4","4,8","5,9","5,6","5,6","6,5","6,2","6,8","7,3","7,6","7,1"
S. & Cent. America,Colombia,"0,9","0,9","1,2","1,2","1,3","1,2","1,3","1,6","1,6","1,7","1,6","1,7","1,9","2,4","2,6","2,8","3,1","3,3","3,7","3,6","3,6","3,7","3,8","3,8","3,6","3,7","3,9","3,8","3,9","3,9","4,1","4,5","5,7","6,6","5,7","5,7","5,9","6,0","5,7","6,1","6,4","6,8","7,2","7,3","8,4","8,7","8,5","9,5","10,5","11,4","11,2","12,1","11,8","12,7","12,9","13,1","12,6","12,6","13,1","13,4"
S. & Cent. America,Ecuador,-,-,-,-,-,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",^,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,1","0,2","0,5","0,6","0,6","0,5","0,5","0,6","0,6","0,6","0,7","0,9","0,9","0,8","0,9","0,9","0,8","0,7","0,6","0,6","0,5","0,5","0,6"
S. & Cent. America,Peru,"0,4","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,4","0,5","0,6","0,6","0,6","0,6","0,6","0,6","0,7","0,8","0,5","0,7","0,5","0,6","0,6","0,5","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,2","0,4","0,4","0,3","0,4","0,4","0,5","0,8","1,5","1,7","2,6","3,3","3,3","5,4","6,3","6,9","6,7","7,4","7,6","8,5","7,5","8,0","8,2","8,2","8,9","9,8","10,1","11,3"
S. & Cent. America,Trinidad & Tobago,"1,1","1,3","1,5","1,6","1,6","1,9","1,9","1,9","1,8","1,7","1,5","1,7","2,0","2,4","2,5","2,8","3,1","3,8","3,9","4,1","4,2","4,3","4,6","5,3","5,3","5,5","5,5","5,3","6,0","6,9","7,4","8,3","9,0","9,0","9,3","10,2","10,9","12,2","13,5","14,9","16,4","19,3","19,6","19,2","19,1","20,7","20,5","20,2","20,4","20,5","19,6","16,9","18,3","17,4","17,5","15,2","15,6","15,5","14,5","14,1"
