Continent,Gas Production (Bcm),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North America,Canada,"54,0","59,1","66,7","71,4","70,0","71,5","72,1","75,7","73,1","77,1","71,2","68,8","72,2","68,0","74,5","80,5","75,5","81,9","94,5","100,4","103,4","108,9","120,0","132,1","142,9","152,7","153,9","159,7","165,6","170,5","176,3","179,4","180,7","176,0","176,7","179,2","179,4","174,7","166,5","155,1","149,6","151,1","150,3","151,9","159,0","160,8","165,0","171,3","176,8","169,6","165,6","172,3","184,8","189,8"
North America,Mexico,"11,0","10,9","11,3","12,3","12,9","13,1","12,9","13,7","17,1","20,8","25,1","27,1","28,9","29,1","28,6","27,8","24,7","25,1","25,4","24,4","26,4","26,8","25,9","27,8","29,2","29,2","30,8","31,1","32,9","34,2","33,4","33,1","33,7","34,8","37,0","44,3","48,5","46,9","47,2","52,6","51,2","52,1","50,9","52,5","51,3","47,9","45,9","41,9","39,8","38,6","36,1","34,3","36,1","38,5"
North America,US,"571,5","587,7","585,8","585,2","559,4","518,0","513,8","516,1","513,9","529,5","525,1","519,6","483,2","437,7","475,0","447,9","436,3","452,0","464,2","470,7","483,4","480,8","484,7","490,2","510,3","503,3","510,2","511,5","517,3","510,1","518,6","531,9","511,2","517,9","503,1","489,4","501,7","521,9","546,1","557,6","575,2","617,4","649,1","655,7","704,7","740,3","727,4","747,1","840,9","928,1","924,8","944,5","990,7","1033,0"
S. & Cent. America,Argentina,"5,9","6,3","6,0","6,5","7,0","7,5","7,1","7,4","7,6","7,0","8,2","8,5","9,5","12,8","13,1","13,5","15,1","14,7","17,5","18,5","17,3","19,4","19,5","20,9","21,7","24,3","28,1","26,6","28,8","33,6","36,4","36,1","35,1","39,9","43,6","44,4","44,8","43,6","42,8","40,3","39,0","37,7","36,7","34,6","34,5","35,5","37,3","37,1","39,4","41,6","38,3","38,6","41,7","41,6"
S. & Cent. America,Bolivia,^,^,"1,1","1,7","1,8","1,8","1,8","1,9","1,9","2,1","2,6","2,7","2,8","2,7","2,6","2,6","2,6","2,8","2,9","3,1","3,1","3,1","2,8","2,8","3,0","3,0","3,1","2,6","2,7","2,2","3,1","4,5","5,8","6,7","9,4","11,6","12,4","13,3","13,8","11,9","13,7","15,0","16,9","19,6","20,4","20,1","18,9","18,6","17,3","15,1","14,7","15,1","13,6","11,8"
S. & Cent. America,Brazil,"0,1","0,1","0,2","0,2","0,4","0,4","0,5","0,6","0,8","0,9","1,0","0,9","1,3","1,8","2,1","2,6","3,0","3,3","3,4","3,5","3,1","3,3","3,7","4,3","4,7","5,2","5,7","6,2","6,5","7,7","7,7","7,9","9,5","10,3","11,4","11,2","11,5","11,6","14,4","12,3","15,0","17,2","19,8","21,9","23,3","23,8","24,1","27,2","25,2","25,7","24,2","24,3","23,0","23,4"
S. & Cent. America,Colombia,"1,2","1,3","1,6","1,6","1,7","1,5","1,5","1,7","2,3","2,6","2,8","3,1","3,3","3,6","3,6","3,7","3,6","3,8","3,7","3,7","3,9","3,9","4,0","3,9","4,0","4,2","4,5","5,7","6,5","5,7","5,7","5,9","6,0","5,7","6,1","6,4","6,8","7,3","8,7","10,1","10,8","10,5","11,5","13,2","12,3","11,6","12,0","11,8","12,4","12,6","12,5","12,6","12,4","12,1"
S. & Cent. America,Peru,"0,4","0,5","0,5","0,4","0,5","0,6","0,6","0,6","0,6","0,6","0,6","0,7","0,8","0,5","0,7","0,5","0,6","0,6","0,5","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,2","0,4","0,4","0,3","0,4","0,4","0,5","0,8","1,5","1,7","2,6","3,5","3,6","7,3","11,5","12,0","12,4","13,1","12,7","14,0","13,0","12,8","13,5","13,2","12,4","15,0","15,4"
S. & Cent. America,Trinidad & Tobago,"1,8","1,9","1,9","1,8","1,7","1,5","1,7","2,0","2,4","2,5","2,8","3,1","3,8","3,9","4,1","4,2","4,3","4,6","5,3","5,3","5,5","5,5","5,3","6,0","6,9","7,4","8,3","9,0","9,0","11,4","13,8","14,7","17,3","25,2","28,6","30,0","35,6","37,7","37,4","38,6","40,3","38,7","38,5","38,7","38,1","36,0","31,3","31,9","34,0","34,6","29,5","24,7","26,0","25,0"
S. & Cent. America,Venezuela,"8,6","8,3","8,2","10,2","10,7","10,4","12,9","14,1","14,3","16,0","16,4","16,5","17,6","17,4","19,2","19,2","21,2","20,6","21,1","21,7","24,4","24,3","24,0","25,9","27,4","30,5","33,0","34,2","35,9","30,4","31,0","32,8","31,5","28,0","31,5","30,4","34,9","37,2","33,4","31,8","30,5","30,2","31,9","30,6","31,8","36,1","37,2","38,6","31,6","25,6","21,6","28,1","29,1","29,7"
