Continent,History Natural Gas - Proved Reserves (Tcm),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
North America,Canada,"2,4","2,5","2,5","2,5","2,7","2,7","2,7","2,6","2,6","2,7","2,7","2,6","2,6","2,2","1,9","1,9","1,9","1,8","1,7","1,7","1,6","1,7","1,6","1,6","1,6","1,6","1,6","1,6","1,7","1,6","1,9","1,8","1,9","1,9","1,9","2,1","2,0","2,0","1,9","2,0","2,4"
North America,Mexico,"1,8","2,1","2,1","2,1","2,1","2,1","2,1","2,1","2,0","2,0","2,0","2,0","1,9","1,9","1,9","1,9","1,8","1,8","0,8","0,8","0,8","0,8","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,4","0,4","0,4","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2"
North America,US,"5,4","5,5","5,5","5,4","5,4","5,2","5,2","5,1","4,6","4,5","4,6","4,5","4,5","4,4","4,4","4,5","4,5","4,5","4,4","4,5","4,8","5,0","5,1","5,1","5,2","5,5","5,7","6,4","6,6","7,4","8,3","9,1","8,4","9,2","10,0","8,3","8,7","11,9","12,9","12,6","12,6"
S. & Cent. America,Argentina,"0,6","0,6","0,7","0,7","0,7","0,7","0,7","0,7","0,8","0,7","0,6","0,6","0,5","0,5","0,5","0,6","0,6","0,7","0,7","0,7","0,8","0,7","0,6","0,6","0,5","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4"
S. & Cent. America,Bolivia,"0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2"
S. & Cent. America,Brazil,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,3"
S. & Cent. America,Colombia,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
S. & Cent. America,Peru,^,^,^,^,^,^,"0,1","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3"
S. & Cent. America,Trinidad & Tobago,"0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,5","0,5","0,6","0,5","0,6","0,6","0,5","0,5","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
S. & Cent. America,Venezuela,"1,4","1,5","1,6","1,7","1,8","1,9","2,9","3,2","3,2","3,3","3,8","4,0","4,1","4,1","4,4","4,5","4,5","4,6","4,6","4,6","4,6","4,6","4,6","4,7","4,8","4,8","5,2","5,4","5,5","5,6","6,1","6,1","6,2","6,2","6,2","6,3","6,4","6,3","6,3","6,3","6,3"
S. & Cent. America,Other S. & Cent. America,"0,2","0,2","0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Europe,Denmark,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",^,^,^,^,^,^,^,^,^,^
